result_type,object_id,end,component,value,unit,comparison_status
node_displacement,1,,DZ,0,m,direct_global
support_reaction,1,,FZ,53.550000000000274,kN,direct_global
node_displacement,2,,DZ,-0.0020627053360566644,m,direct_global
node_displacement,3,,DZ,-0.0037850850432267148,m,direct_global
node_displacement,4,,DZ,-0.0049181203686662883,m,direct_global
node_displacement,5,,DZ,-0.0053124000606690654,m,direct_global
node_displacement,6,,DZ,-0.0049181203686662804,m,direct_global
node_displacement,7,,DZ,-0.0037850850432267062,m,direct_global
node_displacement,8,,DZ,-0.0020627053360566584,m,direct_global
node_displacement,9,,DZ,0,m,direct_global
support_reaction,9,,FZ,53.54999999999982,kN,direct_global
member_end_force,1,i,FZ,53.550000000000274,kN,direct_global_mapping
member_end_force,1,i,MX,0,kNm,direct_global_mapping
member_end_force,1,i,MY,0,kNm,direct_global_mapping
member_end_force,1,j,FZ,-40.162500000000271,kN,direct_global_mapping
member_end_force,1,j,MX,0,kNm,direct_global_mapping
member_end_force,1,j,MY,-87.855468750000909,kNm,direct_global_mapping
member_end_force,2,i,FZ,40.162500000000456,kN,direct_global_mapping
member_end_force,2,i,MX,0,kNm,direct_global_mapping
member_end_force,2,i,MY,87.855468750000909,kNm,direct_global_mapping
member_end_force,2,j,FZ,-26.775000000000453,kN,direct_global_mapping
member_end_force,2,j,MX,0,kNm,direct_global_mapping
member_end_force,2,j,MY,-150.60937500000091,kNm,direct_global_mapping
member_end_force,3,i,FZ,26.774999999999725,kN,direct_global_mapping
member_end_force,3,i,MX,0,kNm,direct_global_mapping
member_end_force,3,i,MY,150.60937500000114,kNm,direct_global_mapping
member_end_force,3,j,FZ,-13.387499999999728,kN,direct_global_mapping
member_end_force,3,j,MX,0,kNm,direct_global_mapping
member_end_force,3,j,MY,-188.26171875000091,kNm,direct_global_mapping
member_end_force,4,i,FZ,13.387500000000546,kN,direct_global_mapping
member_end_force,4,i,MX,0,kNm,direct_global_mapping
member_end_force,4,i,MY,188.26171875000091,kNm,direct_global_mapping
member_end_force,4,j,FZ,-8.1807543317324871e-07,kN,direct_global_mapping
member_end_force,4,j,MX,0,kNm,direct_global_mapping
member_end_force,4,j,MY,-200.81250000000131,kNm,direct_global_mapping
member_end_force,5,i,FZ,8.1807402096956139e-07,kN,direct_global_mapping
member_end_force,5,i,MX,0,kNm,direct_global_mapping
member_end_force,5,i,MY,200.81250000000105,kNm,direct_global_mapping
member_end_force,5,j,FZ,13.387500000000863,kN,direct_global_mapping
member_end_force,5,j,MX,0,kNm,direct_global_mapping
member_end_force,5,j,MY,-188.26171874999804,kNm,direct_global_mapping
member_end_force,6,i,FZ,-13.387499999999502,kN,direct_global_mapping
member_end_force,6,i,MX,0,kNm,direct_global_mapping
member_end_force,6,i,MY,188.26171874999977,kNm,direct_global_mapping
member_end_force,6,j,FZ,26.774999999999501,kN,direct_global_mapping
member_end_force,6,j,MX,0,kNm,direct_global_mapping
member_end_force,6,j,MY,-150.60937500000023,kNm,direct_global_mapping
member_end_force,7,i,FZ,-26.775000000000002,kN,direct_global_mapping
member_end_force,7,i,MX,0,kNm,direct_global_mapping
member_end_force,7,i,MY,150.60937500000045,kNm,direct_global_mapping
member_end_force,7,j,FZ,40.162500000000001,kN,direct_global_mapping
member_end_force,7,j,MX,0,kNm,direct_global_mapping
member_end_force,7,j,MY,-87.855468749999545,kNm,direct_global_mapping
member_end_force,8,i,FZ,-40.162499999999817,kN,direct_global_mapping
member_end_force,8,i,MX,0,kNm,direct_global_mapping
member_end_force,8,i,MY,87.855468749999545,kNm,direct_global_mapping
member_end_force,8,j,FZ,53.54999999999982,kN,direct_global_mapping
member_end_force,8,j,MX,0,kNm,direct_global_mapping
member_end_force,8,j,MY,4.5519144009631418e-13,kNm,direct_global_mapping
