result_type,object_id,end,component,value,unit,comparison_status
node_displacement,1,,DZ,0,m,direct_global
support_reaction,1,,FZ,15.187058823529775,kN,direct_global
node_displacement,2,,DZ,-0.00017208609293267542,m,direct_global
node_displacement,3,,DZ,-0.00031577971177987926,m,direct_global
node_displacement,4,,DZ,-0.00041030587550346142,m,direct_global
node_displacement,5,,DZ,-0.0004431995954805321,m,direct_global
node_displacement,6,,DZ,-0.00041030587550346126,m,direct_global
node_displacement,7,,DZ,-0.00031577971177987882,m,direct_global
node_displacement,8,,DZ,-0.0001720860929326751,m,direct_global
node_displacement,9,,DZ,0,m,direct_global
support_reaction,9,,FZ,15.18705882352949,kN,direct_global
member_end_force,1,i,FZ,15.187058823529775,kN,direct_global_mapping
member_end_force,1,i,MX,0,kNm,direct_global_mapping
member_end_force,1,i,MY,4.2188474935755949e-15,kNm,direct_global_mapping
member_end_force,1,j,FZ,-11.390294117647422,kN,direct_global_mapping
member_end_force,1,j,MX,0,kNm,direct_global_mapping
member_end_force,1,j,MY,-24.916268382353454,kNm,direct_global_mapping
member_end_force,2,i,FZ,11.39029411764735,kN,direct_global_mapping
member_end_force,2,i,MX,0,kNm,direct_global_mapping
member_end_force,2,i,MY,24.916268382353568,kNm,direct_global_mapping
member_end_force,2,j,FZ,-7.5935294117649983,kN,direct_global_mapping
member_end_force,2,j,MX,0,kNm,direct_global_mapping
member_end_force,2,j,MY,-42.713602941177335,kNm,direct_global_mapping
member_end_force,3,i,FZ,7.5935294117645844,kN,direct_global_mapping
member_end_force,3,i,MX,0,kNm,direct_global_mapping
member_end_force,3,i,MY,42.713602941177562,kNm,direct_global_mapping
member_end_force,3,j,FZ,-3.7967647058822331,kN,direct_global_mapping
member_end_force,3,j,MX,0,kNm,direct_global_mapping
member_end_force,3,j,MY,-53.392003676471639,kNm,direct_global_mapping
member_end_force,4,i,FZ,3.7967647058823015,kN,direct_global_mapping
member_end_force,4,i,MX,0,kNm,direct_global_mapping
member_end_force,4,i,MY,53.392003676471411,kNm,direct_global_mapping
member_end_force,4,j,FZ,4.7295500849031669e-14,kN,direct_global_mapping
member_end_force,4,j,MX,0,kNm,direct_global_mapping
member_end_force,4,j,MY,-56.951470588236852,kNm,direct_global_mapping
member_end_force,5,i,FZ,2.4957813593573519e-13,kN,direct_global_mapping
member_end_force,5,i,MX,0,kNm,direct_global_mapping
member_end_force,5,i,MY,56.951470588236234,kNm,direct_global_mapping
member_end_force,5,j,FZ,3.7967647058821052,kN,direct_global_mapping
member_end_force,5,j,MX,0,kNm,direct_global_mapping
member_end_force,5,j,MY,-53.39200367647183,kNm,direct_global_mapping
member_end_force,6,i,FZ,-3.7967647058828016,kN,direct_global_mapping
member_end_force,6,i,MX,0,kNm,direct_global_mapping
member_end_force,6,i,MY,53.392003676472207,kNm,direct_global_mapping
member_end_force,6,j,FZ,7.5935294117651528,kN,direct_global_mapping
member_end_force,6,j,MX,0,kNm,direct_global_mapping
member_end_force,6,j,MY,-42.71360294117688,kNm,direct_global_mapping
member_end_force,7,i,FZ,-7.5935294117648846,kN,direct_global_mapping
member_end_force,7,i,MX,0,kNm,direct_global_mapping
member_end_force,7,i,MY,42.713602941176767,kNm,direct_global_mapping
member_end_force,7,j,FZ,11.390294117647237,kN,direct_global_mapping
member_end_force,7,j,MX,0,kNm,direct_global_mapping
member_end_force,7,j,MY,-24.916268382353568,kNm,direct_global_mapping
member_end_force,8,i,FZ,-11.390294117647194,kN,direct_global_mapping
member_end_force,8,i,MX,0,kNm,direct_global_mapping
member_end_force,8,i,MY,24.916268382353113,kNm,direct_global_mapping
member_end_force,8,j,FZ,15.187058823529547,kN,direct_global_mapping
member_end_force,8,j,MX,0,kNm,direct_global_mapping
member_end_force,8,j,MY,-3.9968028886505635e-15,kNm,direct_global_mapping
