result_type,object_id,end,component,value,unit,comparison_status
node_displacement,1,,DZ,0,m,direct_global
support_reaction,1,,FZ,85.275000000000361,kN,direct_global
node_displacement,2,,DZ,-0.003284728245233107,m,direct_global
node_displacement,3,,DZ,-0.006027509375558536,m,direct_global
node_displacement,4,,DZ,-0.0078317967215316454,m,direct_global
node_displacement,5,,DZ,-0.0084596622814856505,m,direct_global
node_displacement,6,,DZ,-0.0078317967215316281,m,direct_global
node_displacement,7,,DZ,-0.0060275093755585134,m,direct_global
node_displacement,8,,DZ,-0.0032847282452330914,m,direct_global
node_displacement,9,,DZ,0,m,direct_global
support_reaction,9,,FZ,85.274999999998542,kN,direct_global
member_end_force,1,i,FZ,85.275000000000361,kN,direct_global_mapping
member_end_force,1,i,MX,0,kNm,direct_global_mapping
member_end_force,1,i,MY,0,kNm,direct_global_mapping
member_end_force,1,j,FZ,-63.956250000000367,kN,direct_global_mapping
member_end_force,1,j,MX,0,kNm,direct_global_mapping
member_end_force,1,j,MY,-139.90429687500182,kNm,direct_global_mapping
member_end_force,2,i,FZ,63.956250000000907,kN,direct_global_mapping
member_end_force,2,i,MX,0,kNm,direct_global_mapping
member_end_force,2,i,MY,139.90429687500182,kNm,direct_global_mapping
member_end_force,2,j,FZ,-42.637500000000912,kN,direct_global_mapping
member_end_force,2,j,MX,0,kNm,direct_global_mapping
member_end_force,2,j,MY,-239.83593750000273,kNm,direct_global_mapping
member_end_force,3,i,FZ,42.637499999998269,kN,direct_global_mapping
member_end_force,3,i,MX,0,kNm,direct_global_mapping
member_end_force,3,i,MY,239.83593750000364,kNm,direct_global_mapping
member_end_force,3,j,FZ,-21.318749999998271,kN,direct_global_mapping
member_end_force,3,j,MX,0,kNm,direct_global_mapping
member_end_force,3,j,MY,-299.79492187500273,kNm,direct_global_mapping
member_end_force,4,i,FZ,21.318750000001351,kN,direct_global_mapping
member_end_force,4,i,MX,0,kNm,direct_global_mapping
member_end_force,4,i,MY,299.79492187500273,kNm,direct_global_mapping
member_end_force,4,j,FZ,-1.3027339864635223e-06,kN,direct_global_mapping
member_end_force,4,j,MX,0,kNm,direct_global_mapping
member_end_force,4,j,MY,-319.78125000000455,kNm,direct_global_mapping
member_end_force,5,i,FZ,1.3027303253920763e-06,kN,direct_global_mapping
member_end_force,5,i,MX,0,kNm,direct_global_mapping
member_end_force,5,i,MY,319.78125000000585,kNm,direct_global_mapping
member_end_force,5,j,FZ,21.318750000002311,kN,direct_global_mapping
member_end_force,5,j,MX,0,kNm,direct_global_mapping
member_end_force,5,j,MY,-299.79492187499835,kNm,direct_global_mapping
member_end_force,6,i,FZ,-21.31874999999873,kN,direct_global_mapping
member_end_force,6,i,MX,0,kNm,direct_global_mapping
member_end_force,6,i,MY,299.79492187499818,kNm,direct_global_mapping
member_end_force,6,j,FZ,42.637499999998724,kN,direct_global_mapping
member_end_force,6,j,MX,0,kNm,direct_global_mapping
member_end_force,6,j,MY,-239.8359375,kNm,direct_global_mapping
member_end_force,7,i,FZ,-42.637500000000912,kN,direct_global_mapping
member_end_force,7,i,MX,0,kNm,direct_global_mapping
member_end_force,7,i,MY,239.83593750000045,kNm,direct_global_mapping
member_end_force,7,j,FZ,63.956250000000907,kN,direct_global_mapping
member_end_force,7,j,MX,0,kNm,direct_global_mapping
member_end_force,7,j,MY,-139.904296875,kNm,direct_global_mapping
member_end_force,8,i,FZ,-63.956249999998548,kN,direct_global_mapping
member_end_force,8,i,MX,0,kNm,direct_global_mapping
member_end_force,8,i,MY,139.90429687499909,kNm,direct_global_mapping
member_end_force,8,j,FZ,85.274999999998542,kN,direct_global_mapping
member_end_force,8,j,MX,0,kNm,direct_global_mapping
member_end_force,8,j,MY,-9.0771834493352799e-13,kNm,direct_global_mapping
