result_type,object_id,end,component,value,unit,comparison_status
node_displacement,1,,DZ,0,m,direct_global
support_reaction,1,,FZ,87.352941176469628,kN,direct_global
node_displacement,2,,DZ,-0.0011239272466201846,m,direct_global
node_displacement,3,,DZ,-0.002062417804663195,m,direct_global
node_displacement,4,,DZ,-0.0026797862922432955,m,direct_global
node_displacement,5,,DZ,-0.0028946214802290445,m,direct_global
node_displacement,6,,DZ,-0.0026797862922432959,m,direct_global
node_displacement,7,,DZ,-0.0020624178046631954,m,direct_global
node_displacement,8,,DZ,-0.0011239272466201842,m,direct_global
node_displacement,9,,DZ,0,m,direct_global
support_reaction,9,,FZ,87.352941176468718,kN,direct_global
member_end_force,1,i,FZ,87.352941176469628,kN,direct_global_mapping
member_end_force,1,i,MX,0,kNm,direct_global_mapping
member_end_force,1,i,MY,-4.8139270347746788e-13,kNm,direct_global_mapping
member_end_force,1,j,FZ,-65.514705882351976,kN,direct_global_mapping
member_end_force,1,j,MX,0,kNm,direct_global_mapping
member_end_force,1,j,MY,-143.31341911764636,kNm,direct_global_mapping
member_end_force,2,i,FZ,65.514705882352516,kN,direct_global_mapping
member_end_force,2,i,MX,0,kNm,direct_global_mapping
member_end_force,2,i,MY,143.31341911764636,kNm,direct_global_mapping
member_end_force,2,j,FZ,-43.676470588234864,kN,direct_global_mapping
member_end_force,2,j,MX,0,kNm,direct_global_mapping
member_end_force,2,j,MY,-245.6801470588193,kNm,direct_global_mapping
member_end_force,3,i,FZ,43.67647058823313,kN,direct_global_mapping
member_end_force,3,i,MX,0,kNm,direct_global_mapping
member_end_force,3,i,MY,245.68014705882203,kNm,direct_global_mapping
member_end_force,3,j,FZ,-21.838235294115478,kN,direct_global_mapping
member_end_force,3,j,MX,0,kNm,direct_global_mapping
member_end_force,3,j,MY,-307.10018382352246,kNm,direct_global_mapping
member_end_force,4,i,FZ,21.838235294116689,kN,direct_global_mapping
member_end_force,4,i,MX,0,kNm,direct_global_mapping
member_end_force,4,i,MY,307.10018382352609,kNm,direct_global_mapping
member_end_force,4,j,FZ,9.396927680427325e-13,kN,direct_global_mapping
member_end_force,4,j,MX,0,kNm,direct_global_mapping
member_end_force,4,j,MY,-327.5735294117577,kNm,direct_global_mapping
member_end_force,5,i,FZ,-6.3238303482648917e-13,kN,direct_global_mapping
member_end_force,5,i,MX,0,kNm,direct_global_mapping
member_end_force,5,i,MY,327.57352941175742,kNm,direct_global_mapping
member_end_force,5,j,FZ,21.838235294118299,kN,direct_global_mapping
member_end_force,5,j,MX,0,kNm,direct_global_mapping
member_end_force,5,j,MY,-307.10018382352331,kNm,direct_global_mapping
member_end_force,6,i,FZ,-21.838235294116846,kN,direct_global_mapping
member_end_force,6,i,MX,0,kNm,direct_global_mapping
member_end_force,6,i,MY,307.10018382352564,kNm,direct_global_mapping
member_end_force,6,j,FZ,43.676470588234494,kN,direct_global_mapping
member_end_force,6,j,MX,0,kNm,direct_global_mapping
member_end_force,6,j,MY,-245.68014705882203,kNm,direct_global_mapping
member_end_force,7,i,FZ,-43.676470588234864,kN,direct_global_mapping
member_end_force,7,i,MX,0,kNm,direct_global_mapping
member_end_force,7,i,MY,245.68014705881976,kNm,direct_global_mapping
member_end_force,7,j,FZ,65.514705882352516,kN,direct_global_mapping
member_end_force,7,j,MX,0,kNm,direct_global_mapping
member_end_force,7,j,MY,-143.31341911764454,kNm,direct_global_mapping
member_end_force,8,i,FZ,-65.514705882351066,kN,direct_global_mapping
member_end_force,8,i,MX,0,kNm,direct_global_mapping
member_end_force,8,i,MY,143.31341911764454,kNm,direct_global_mapping
member_end_force,8,j,FZ,87.352941176468718,kN,direct_global_mapping
member_end_force,8,j,MX,0,kNm,direct_global_mapping
member_end_force,8,j,MY,4.8272497110701806e-13,kNm,direct_global_mapping
