result_type,object_id,end,component,value,unit,comparison_status
node_displacement,1,,DZ,0,m,direct_global
support_reaction,1,,FZ,15.187058823529661,kN,direct_global
node_displacement,2,,DZ,-0.0001720860929326758,m,direct_global
node_displacement,3,,DZ,-0.00031577971177988007,m,direct_global
node_displacement,4,,DZ,-0.00041030587550346277,m,direct_global
node_displacement,5,,DZ,-0.00044319959548053367,m,direct_global
node_displacement,6,,DZ,-0.00041030587550346299,m,direct_global
node_displacement,7,,DZ,-0.00031577971177988029,m,direct_global
node_displacement,8,,DZ,-0.00017208609293267591,m,direct_global
node_displacement,9,,DZ,0,m,direct_global
support_reaction,9,,FZ,15.187058823529888,kN,direct_global
member_end_force,1,i,FZ,15.187058823529661,kN,direct_global_mapping
member_end_force,1,i,MX,0,kNm,direct_global_mapping
member_end_force,1,i,MY,3.9968028886505635e-15,kNm,direct_global_mapping
member_end_force,1,j,FZ,-11.390294117647308,kN,direct_global_mapping
member_end_force,1,j,MX,0,kNm,direct_global_mapping
member_end_force,1,j,MY,-24.916268382353341,kNm,direct_global_mapping
member_end_force,2,i,FZ,11.39029411764735,kN,direct_global_mapping
member_end_force,2,i,MX,0,kNm,direct_global_mapping
member_end_force,2,i,MY,24.916268382353568,kNm,direct_global_mapping
member_end_force,2,j,FZ,-7.5935294117649974,kN,direct_global_mapping
member_end_force,2,j,MX,0,kNm,direct_global_mapping
member_end_force,2,j,MY,-42.713602941177221,kNm,direct_global_mapping
member_end_force,3,i,FZ,7.5935294117645853,kN,direct_global_mapping
member_end_force,3,i,MX,0,kNm,direct_global_mapping
member_end_force,3,i,MY,42.713602941177335,kNm,direct_global_mapping
member_end_force,3,j,FZ,-3.7967647058822322,kN,direct_global_mapping
member_end_force,3,j,MX,0,kNm,direct_global_mapping
member_end_force,3,j,MY,-53.392003676471866,kNm,direct_global_mapping
member_end_force,4,i,FZ,3.7967647058820999,kN,direct_global_mapping
member_end_force,4,i,MX,0,kNm,direct_global_mapping
member_end_force,4,i,MY,53.39200367647198,kNm,direct_global_mapping
member_end_force,4,j,FZ,-2.3201003607198345e-07,kN,direct_global_mapping
member_end_force,4,j,MX,0,kNm,direct_global_mapping
member_end_force,4,j,MY,-56.951470588236553,kNm,direct_global_mapping
member_end_force,5,i,FZ,2.3201039134335133e-07,kN,direct_global_mapping
member_end_force,5,i,MX,0,kNm,direct_global_mapping
member_end_force,5,i,MY,56.951470588236859,kNm,direct_global_mapping
member_end_force,5,j,FZ,3.7967647058822518,kN,direct_global_mapping
member_end_force,5,j,MX,0,kNm,direct_global_mapping
member_end_force,5,j,MY,-53.392003676472143,kNm,direct_global_mapping
member_end_force,6,i,FZ,-3.7967647058823459,kN,direct_global_mapping
member_end_force,6,i,MX,0,kNm,direct_global_mapping
member_end_force,6,i,MY,53.392003676471695,kNm,direct_global_mapping
member_end_force,6,j,FZ,7.593529411764699,kN,direct_global_mapping
member_end_force,6,j,MX,0,kNm,direct_global_mapping
member_end_force,6,j,MY,-42.713602941177903,kNm,direct_global_mapping
member_end_force,7,i,FZ,-7.5935294117649974,kN,direct_global_mapping
member_end_force,7,i,MX,0,kNm,direct_global_mapping
member_end_force,7,i,MY,42.713602941177108,kNm,direct_global_mapping
member_end_force,7,j,FZ,11.39029411764735,kN,direct_global_mapping
member_end_force,7,j,MX,0,kNm,direct_global_mapping
member_end_force,7,j,MY,-24.916268382353454,kNm,direct_global_mapping
member_end_force,8,i,FZ,-11.390294117647535,kN,direct_global_mapping
member_end_force,8,i,MX,0,kNm,direct_global_mapping
member_end_force,8,i,MY,24.916268382353454,kNm,direct_global_mapping
member_end_force,8,j,FZ,15.187058823529888,kN,direct_global_mapping
member_end_force,8,j,MX,0,kNm,direct_global_mapping
member_end_force,8,j,MY,1.099120794378905e-13,kNm,direct_global_mapping
