result_type,object_id,end,component,value,unit,comparison_status
node_displacement,1,,DZ,0,m,direct_global
support_reaction,1,,FZ,53.550000000000722,kN,direct_global
node_displacement,2,,DZ,-0.0020627053360567,m,direct_global
node_displacement,3,,DZ,-0.0037850850432267816,m,direct_global
node_displacement,4,,DZ,-0.0049181203686663776,m,direct_global
node_displacement,5,,DZ,-0.005312400060669166,m,direct_global
node_displacement,6,,DZ,-0.0049181203686663724,m,direct_global
node_displacement,7,,DZ,-0.0037850850432267738,m,direct_global
node_displacement,8,,DZ,-0.0020627053360566944,m,direct_global
node_displacement,9,,DZ,0,m,direct_global
support_reaction,9,,FZ,53.550000000000502,kN,direct_global
member_end_force,1,i,FZ,53.550000000000722,kN,direct_global_mapping
member_end_force,1,i,MX,0,kNm,direct_global_mapping
member_end_force,1,i,MY,4.4408920985006262e-16,kNm,direct_global_mapping
member_end_force,1,j,FZ,-40.162500000000726,kN,direct_global_mapping
member_end_force,1,j,MX,0,kNm,direct_global_mapping
member_end_force,1,j,MY,-87.855468750001819,kNm,direct_global_mapping
member_end_force,2,i,FZ,40.162500000000904,kN,direct_global_mapping
member_end_force,2,i,MX,0,kNm,direct_global_mapping
member_end_force,2,i,MY,87.855468750001819,kNm,direct_global_mapping
member_end_force,2,j,FZ,-26.775000000000912,kN,direct_global_mapping
member_end_force,2,j,MX,0,kNm,direct_global_mapping
member_end_force,2,j,MY,-150.60937500000364,kNm,direct_global_mapping
member_end_force,3,i,FZ,26.775000000000635,kN,direct_global_mapping
member_end_force,3,i,MX,0,kNm,direct_global_mapping
member_end_force,3,i,MY,150.60937500000273,kNm,direct_global_mapping
member_end_force,3,j,FZ,-13.387500000000639,kN,direct_global_mapping
member_end_force,3,j,MX,0,kNm,direct_global_mapping
member_end_force,3,j,MY,-188.261718750005,kNm,direct_global_mapping
member_end_force,4,i,FZ,13.387500000000017,kN,direct_global_mapping
member_end_force,4,i,MX,0,kNm,direct_global_mapping
member_end_force,4,i,MY,188.26171875000432,kNm,direct_global_mapping
member_end_force,4,j,FZ,-3.0198066269804258e-14,kN,direct_global_mapping
member_end_force,4,j,MX,0,kNm,direct_global_mapping
member_end_force,4,j,MY,-200.81250000000529,kNm,direct_global_mapping
member_end_force,5,i,FZ,-9.2814644858663087e-13,kN,direct_global_mapping
member_end_force,5,i,MX,0,kNm,direct_global_mapping
member_end_force,5,i,MY,200.81250000000506,kNm,direct_global_mapping
member_end_force,5,j,FZ,13.387500000000937,kN,direct_global_mapping
member_end_force,5,j,MX,0,kNm,direct_global_mapping
member_end_force,5,j,MY,-188.26171875000409,kNm,direct_global_mapping
member_end_force,6,i,FZ,-13.387500000001094,kN,direct_global_mapping
member_end_force,6,i,MX,0,kNm,direct_global_mapping
member_end_force,6,i,MY,188.26171875000364,kNm,direct_global_mapping
member_end_force,6,j,FZ,26.775000000001089,kN,direct_global_mapping
member_end_force,6,j,MX,0,kNm,direct_global_mapping
member_end_force,6,j,MY,-150.60937500000182,kNm,direct_global_mapping
member_end_force,7,i,FZ,-26.775000000000457,kN,direct_global_mapping
member_end_force,7,i,MX,0,kNm,direct_global_mapping
member_end_force,7,i,MY,150.60937500000227,kNm,direct_global_mapping
member_end_force,7,j,FZ,40.162500000000456,kN,direct_global_mapping
member_end_force,7,j,MX,0,kNm,direct_global_mapping
member_end_force,7,j,MY,-87.855468750000455,kNm,direct_global_mapping
member_end_force,8,i,FZ,-40.162500000000733,kN,direct_global_mapping
member_end_force,8,i,MX,0,kNm,direct_global_mapping
member_end_force,8,i,MY,87.855468750001364,kNm,direct_global_mapping
member_end_force,8,j,FZ,53.550000000000729,kN,direct_global_mapping
member_end_force,8,j,MX,0,kNm,direct_global_mapping
member_end_force,8,j,MY,4.4408920985006262e-16,kNm,direct_global_mapping
