result_type,object_id,end,component,value,unit,comparison_status
node_displacement,1,,DZ,0,m,direct_global
support_reaction,1,,FZ,91.350000000000549,kN,direct_global
node_displacement,2,,DZ,-0.0035187326320966637,m,direct_global
node_displacement,3,,DZ,-0.0064569097796220451,m,direct_global
node_displacement,4,,DZ,-0.0083897347465483763,m,direct_global
node_displacement,5,,DZ,-0.0090623295152589961,m,direct_global
node_displacement,6,,DZ,-0.0083897347465483642,m,direct_global
node_displacement,7,,DZ,-0.0064569097796220304,m,direct_global
node_displacement,8,,DZ,-0.0035187326320966529,m,direct_global
node_displacement,9,,DZ,0,m,direct_global
support_reaction,9,,FZ,91.350000000000549,kN,direct_global
member_end_force,1,i,FZ,91.350000000000549,kN,direct_global_mapping
member_end_force,1,i,MX,0,kNm,direct_global_mapping
member_end_force,1,i,MY,-9.0949470177292824e-13,kNm,direct_global_mapping
member_end_force,1,j,FZ,-68.512500000000543,kN,direct_global_mapping
member_end_force,1,j,MX,0,kNm,direct_global_mapping
member_end_force,1,j,MY,-149.87109375000182,kNm,direct_global_mapping
member_end_force,2,i,FZ,68.512500000001822,kN,direct_global_mapping
member_end_force,2,i,MX,0,kNm,direct_global_mapping
member_end_force,2,i,MY,149.87109375000091,kNm,direct_global_mapping
member_end_force,2,j,FZ,-45.675000000001816,kN,direct_global_mapping
member_end_force,2,j,MX,0,kNm,direct_global_mapping
member_end_force,2,j,MY,-256.92187500000273,kNm,direct_global_mapping
member_end_force,3,i,FZ,45.674999999999912,kN,direct_global_mapping
member_end_force,3,i,MX,0,kNm,direct_global_mapping
member_end_force,3,i,MY,256.92187500000182,kNm,direct_global_mapping
member_end_force,3,j,FZ,-22.837499999999906,kN,direct_global_mapping
member_end_force,3,j,MX,0,kNm,direct_global_mapping
member_end_force,3,j,MY,-321.15234375000182,kNm,direct_global_mapping
member_end_force,4,i,FZ,22.83749999999872,kN,direct_global_mapping
member_end_force,4,i,MX,0,kNm,direct_global_mapping
member_end_force,4,i,MY,321.1523437500029,kNm,direct_global_mapping
member_end_force,4,j,FZ,-1.3955382307528907e-06,kN,direct_global_mapping
member_end_force,4,j,MX,0,kNm,direct_global_mapping
member_end_force,4,j,MY,-342.56250000000097,kNm,direct_global_mapping
member_end_force,5,i,FZ,1.3955372271112765e-06,kN,direct_global_mapping
member_end_force,5,i,MX,0,kNm,direct_global_mapping
member_end_force,5,i,MY,342.5624999999992,kNm,direct_global_mapping
member_end_force,5,j,FZ,22.837500000002283,kN,direct_global_mapping
member_end_force,5,j,MX,0,kNm,direct_global_mapping
member_end_force,5,j,MY,-321.15234374999955,kNm,direct_global_mapping
member_end_force,6,i,FZ,-22.83749999999991,kN,direct_global_mapping
member_end_force,6,i,MX,0,kNm,direct_global_mapping
member_end_force,6,i,MY,321.15234375000045,kNm,direct_global_mapping
member_end_force,6,j,FZ,45.674999999999912,kN,direct_global_mapping
member_end_force,6,j,MX,0,kNm,direct_global_mapping
member_end_force,6,j,MY,-256.92187499999955,kNm,direct_global_mapping
member_end_force,7,i,FZ,-45.675000000002726,kN,direct_global_mapping
member_end_force,7,i,MX,0,kNm,direct_global_mapping
member_end_force,7,i,MY,256.92187500000273,kNm,direct_global_mapping
member_end_force,7,j,FZ,68.512500000002731,kN,direct_global_mapping
member_end_force,7,j,MX,0,kNm,direct_global_mapping
member_end_force,7,j,MY,-149.87109374999727,kNm,direct_global_mapping
member_end_force,8,i,FZ,-68.512500000000543,kN,direct_global_mapping
member_end_force,8,i,MX,0,kNm,direct_global_mapping
member_end_force,8,i,MY,149.87109375,kNm,direct_global_mapping
member_end_force,8,j,FZ,91.350000000000549,kN,direct_global_mapping
member_end_force,8,j,MX,0,kNm,direct_global_mapping
member_end_force,8,j,MY,9.1127105861232849e-13,kNm,direct_global_mapping
