result_type,object_id,end,component,value,unit,comparison_status
node_displacement,1,,DZ,0,m,direct_global
support_reaction,1,,FZ,91.350000000002368,kN,direct_global
node_displacement,2,,DZ,-0.0035187326320967405,m,direct_global
node_displacement,3,,DZ,-0.0064569097796221865,m,direct_global
node_displacement,4,,DZ,-0.0083897347465485602,m,direct_global
node_displacement,5,,DZ,-0.0090623295152591921,m,direct_global
node_displacement,6,,DZ,-0.0083897347465485411,m,direct_global
node_displacement,7,,DZ,-0.0064569097796221614,m,direct_global
node_displacement,8,,DZ,-0.0035187326320967236,m,direct_global
node_displacement,9,,DZ,0,m,direct_global
support_reaction,9,,FZ,91.350000000000549,kN,direct_global
member_end_force,1,i,FZ,91.350000000002368,kN,direct_global_mapping
member_end_force,1,i,MX,0,kNm,direct_global_mapping
member_end_force,1,i,MY,0,kNm,direct_global_mapping
member_end_force,1,j,FZ,-68.512500000002362,kN,direct_global_mapping
member_end_force,1,j,MX,0,kNm,direct_global_mapping
member_end_force,1,j,MY,-149.87109375000364,kNm,direct_global_mapping
member_end_force,2,i,FZ,68.512500000001822,kN,direct_global_mapping
member_end_force,2,i,MX,0,kNm,direct_global_mapping
member_end_force,2,i,MY,149.87109375000364,kNm,direct_global_mapping
member_end_force,2,j,FZ,-45.675000000001816,kN,direct_global_mapping
member_end_force,2,j,MX,0,kNm,direct_global_mapping
member_end_force,2,j,MY,-256.92187500000909,kNm,direct_global_mapping
member_end_force,3,i,FZ,45.67500000000264,kN,direct_global_mapping
member_end_force,3,i,MX,0,kNm,direct_global_mapping
member_end_force,3,i,MY,256.92187500000773,kNm,direct_global_mapping
member_end_force,3,j,FZ,-22.837500000002635,kN,direct_global_mapping
member_end_force,3,j,MX,0,kNm,direct_global_mapping
member_end_force,3,j,MY,-321.15234375001091,kNm,direct_global_mapping
member_end_force,4,i,FZ,22.837500000002606,kN,direct_global_mapping
member_end_force,4,i,MX,0,kNm,direct_global_mapping
member_end_force,4,i,MY,321.15234375000858,kNm,direct_global_mapping
member_end_force,4,j,FZ,-1.3955420712363775e-06,kN,direct_global_mapping
member_end_force,4,j,MX,0,kNm,direct_global_mapping
member_end_force,4,j,MY,-342.56250000001143,kNm,direct_global_mapping
member_end_force,5,i,FZ,1.3955410711474769e-06,kN,direct_global_mapping
member_end_force,5,i,MX,0,kNm,direct_global_mapping
member_end_force,5,i,MY,342.56250000000421,kNm,direct_global_mapping
member_end_force,5,j,FZ,22.837499999998396,kN,direct_global_mapping
member_end_force,5,j,MX,0,kNm,direct_global_mapping
member_end_force,5,j,MY,-321.15234375001023,kNm,direct_global_mapping
member_end_force,6,i,FZ,-22.837500000000365,kN,direct_global_mapping
member_end_force,6,i,MX,0,kNm,direct_global_mapping
member_end_force,6,i,MY,321.15234375000455,kNm,direct_global_mapping
member_end_force,6,j,FZ,45.675000000000367,kN,direct_global_mapping
member_end_force,6,j,MX,0,kNm,direct_global_mapping
member_end_force,6,j,MY,-256.921875000005,kNm,direct_global_mapping
member_end_force,7,i,FZ,-45.675000000000907,kN,direct_global_mapping
member_end_force,7,i,MX,0,kNm,direct_global_mapping
member_end_force,7,i,MY,256.92187500000546,kNm,direct_global_mapping
member_end_force,7,j,FZ,68.512500000000912,kN,direct_global_mapping
member_end_force,7,j,MX,0,kNm,direct_global_mapping
member_end_force,7,j,MY,-149.87109375000091,kNm,direct_global_mapping
member_end_force,8,i,FZ,-68.512500000000543,kN,direct_global_mapping
member_end_force,8,i,MX,0,kNm,direct_global_mapping
member_end_force,8,i,MY,149.87109375000182,kNm,direct_global_mapping
member_end_force,8,j,FZ,91.350000000000549,kN,direct_global_mapping
member_end_force,8,j,MX,0,kNm,direct_global_mapping
member_end_force,8,j,MY,1.7763568394002505e-15,kNm,direct_global_mapping
