standard,girder_index,rule_id,combination_name,traffic_action,governing_components,moment_knm,shear_kn,torsion_knm,moment_source_case_id,shear_source_case_id,torsion_source_case_id,factors_json
BS 5400,2,bs_combination_3_uls_hb,BS 5400 combination 3 ULS (hb),hb,,1691.0207420084166,576.2302362032483,89.305553237977762,127,118,137,"{""other_superimposed"": 1.2, ""primary_live"": 1.1, ""structural_dead"": 1.15, ""surfacing"": 1.75}"
BS 5400,2,bs_combination_3_uls_ha_hb,BS 5400 combination 3 ULS (ha_hb),ha_hb,moment;shear;torsion,1727.6914125118365,580.4327325146777,90.855268151261058,786,632,708,"{""other_superimposed"": 1.2, ""primary_live"": 1.1, ""structural_dead"": 1.15, ""surfacing"": 1.75}"
BS 5400,2,bs_combination_3_sls_ha,BS 5400 combination 3 SLS (ha),ha,,1124.3051191665866,310.89662692934627,39.008824691270746,179,45,162,"{""other_superimposed"": 1.0, ""primary_live"": 1.0, ""structural_dead"": 1.0, ""surfacing"": 1.2}"
BS 5400,2,bs_combination_3_sls_hb,BS 5400 combination 3 SLS (hb),hb,,1493.3078135905389,512.11666392808661,81.186866579979778,127,118,137,"{""other_superimposed"": 1.0, ""primary_live"": 1.0, ""structural_dead"": 1.0, ""surfacing"": 1.2}"
BS 5400,2,bs_combination_3_sls_ha_hb,BS 5400 combination 3 SLS (ha_hb),ha_hb,moment;shear;torsion,1526.6447867754659,515.93711512029518,82.595698319328221,786,632,708,"{""other_superimposed"": 1.0, ""primary_live"": 1.0, ""structural_dead"": 1.0, ""surfacing"": 1.2}"
BS 5400,3,bs_combination_1_uls_ha,BS 5400 combination 1 ULS (ha),ha,,1930.5988779795441,562.56644156455991,38.894057000225743,179,41,25,"{""other_superimposed"": 1.2, ""primary_live"": 1.5, ""structural_dead"": 1.15, ""surfacing"": 1.75}"
BS 5400,3,bs_combination_1_uls_hb,BS 5400 combination 1 ULS (hb),hb,torsion,2209.7662239067613,824.91601197511886,101.47373972296944,127,118,141,"{""other_superimposed"": 1.2, ""primary_live"": 1.3, ""structural_dead"": 1.15, ""surfacing"": 1.75}"
BS 5400,3,bs_combination_1_uls_ha_hb,BS 5400 combination 1 ULS (ha_hb),ha_hb,moment;shear,2423.5887634937208,863.33396874099981,100.14134899830351,786,630,742,"{""other_superimposed"": 1.2, ""primary_live"": 1.3, ""structural_dead"": 1.15, ""surfacing"": 1.75}"
BS 5400,3,bs_combination_1_sls_ha,BS 5400 combination 1 SLS (ha),ha,,1571.1191023836354,457.15715325164797,31.115245600180593,179,41,25,"{""other_superimposed"": 1.0, ""primary_live"": 1.2, ""structural_dead"": 1.0, ""surfacing"": 1.2}"
BS 5400,3,bs_combination_1_sls_hb,BS 5400 combination 1 SLS (hb),hb,torsion,1860.8047856134135,695.60654859433134,85.862395150204918,127,118,141,"{""other_superimposed"": 1.0, ""primary_live"": 1.1, ""structural_dead"": 1.0, ""surfacing"": 1.2}"
