combination_instance_id,rule_id,standard,traffic_action,source_kind,source_key,source_model_path,load_case_id,stage,permanent_category,factor
ec_uls_persistent__lm1_000584,ec_uls_persistent,EN 1990 / EN 1991-2,lm1,permanent_component,superimposed_other_superimposed,permanent_components/superimposed_other_superimposed/superimposed_other_superimposed.std,204,superimposed,other_superimposed,1.3500000000000001
ec_uls_persistent__lm1_000584,ec_uls_persistent,EN 1990 / EN 1991-2,lm1,traffic_case,lm1_000584,traffic/lm1/lm1_000584/lm1_000584.std,584,superimposed,,1.3500000000000001
ec_uls_persistent__lm1_000592,ec_uls_persistent,EN 1990 / EN 1991-2,lm1,permanent_component,precast_girder_structural_dead,permanent_components/precast_girder_structural_dead/precast_girder_structural_dead.std,201,precast_girder,structural_dead,1.3500000000000001
ec_uls_persistent__lm1_000592,ec_uls_persistent,EN 1990 / EN 1991-2,lm1,permanent_component,deck_construction_structural_dead,permanent_components/deck_construction_structural_dead/deck_construction_structural_dead.std,202,deck_construction,structural_dead,1.3500000000000001
ec_uls_persistent__lm1_000592,ec_uls_persistent,EN 1990 / EN 1991-2,lm1,permanent_component,superimposed_surfacing,permanent_components/superimposed_surfacing/superimposed_surfacing.std,203,superimposed,surfacing,1.3500000000000001
ec_uls_persistent__lm1_000592,ec_uls_persistent,EN 1990 / EN 1991-2,lm1,permanent_component,superimposed_other_superimposed,permanent_components/superimposed_other_superimposed/superimposed_other_superimposed.std,204,superimposed,other_superimposed,1.3500000000000001
ec_uls_persistent__lm1_000592,ec_uls_persistent,EN 1990 / EN 1991-2,lm1,traffic_case,lm1_000592,traffic/lm1/lm1_000592/lm1_000592.std,592,superimposed,,1.3500000000000001
ec_uls_persistent__lm1_000625,ec_uls_persistent,EN 1990 / EN 1991-2,lm1,permanent_component,precast_girder_structural_dead,permanent_components/precast_girder_structural_dead/precast_girder_structural_dead.std,201,precast_girder,structural_dead,1.3500000000000001
ec_uls_persistent__lm1_000625,ec_uls_persistent,EN 1990 / EN 1991-2,lm1,permanent_component,deck_construction_structural_dead,permanent_components/deck_construction_structural_dead/deck_construction_structural_dead.std,202,deck_construction,structural_dead,1.3500000000000001
ec_uls_persistent__lm1_000625,ec_uls_persistent,EN 1990 / EN 1991-2,lm1,permanent_component,superimposed_surfacing,permanent_components/superimposed_surfacing/superimposed_surfacing.std,203,superimposed,surfacing,1.3500000000000001
ec_uls_persistent__lm1_000625,ec_uls_persistent,EN 1990 / EN 1991-2,lm1,permanent_component,superimposed_other_superimposed,permanent_components/superimposed_other_superimposed/superimposed_other_superimposed.std,204,superimposed,other_superimposed,1.3500000000000001
ec_uls_persistent__lm1_000625,ec_uls_persistent,EN 1990 / EN 1991-2,lm1,traffic_case,lm1_000625,traffic/lm1/lm1_000625/lm1_000625.std,625,superimposed,,1.3500000000000001
ec_uls_persistent__lm1_000632,ec_uls_persistent,EN 1990 / EN 1991-2,lm1,permanent_component,precast_girder_structural_dead,permanent_components/precast_girder_structural_dead/precast_girder_structural_dead.std,201,precast_girder,structural_dead,1.3500000000000001
ec_uls_persistent__lm1_000632,ec_uls_persistent,EN 1990 / EN 1991-2,lm1,permanent_component,deck_construction_structural_dead,permanent_components/deck_construction_structural_dead/deck_construction_structural_dead.std,202,deck_construction,structural_dead,1.3500000000000001
ec_uls_persistent__lm1_000632,ec_uls_persistent,EN 1990 / EN 1991-2,lm1,permanent_component,superimposed_surfacing,permanent_components/superimposed_surfacing/superimposed_surfacing.std,203,superimposed,surfacing,1.3500000000000001
ec_uls_persistent__lm1_000632,ec_uls_persistent,EN 1990 / EN 1991-2,lm1,permanent_component,superimposed_other_superimposed,permanent_components/superimposed_other_superimposed/superimposed_other_superimposed.std,204,superimposed,other_superimposed,1.3500000000000001
ec_uls_persistent__lm1_000632,ec_uls_persistent,EN 1990 / EN 1991-2,lm1,traffic_case,lm1_000632,traffic/lm1/lm1_000632/lm1_000632.std,632,superimposed,,1.3500000000000001
ec_uls_persistent__lm1_000640,ec_uls_persistent,EN 1990 / EN 1991-2,lm1,permanent_component,precast_girder_structural_dead,permanent_components/precast_girder_structural_dead/precast_girder_structural_dead.std,201,precast_girder,structural_dead,1.3500000000000001
ec_uls_persistent__lm1_000640,ec_uls_persistent,EN 1990 / EN 1991-2,lm1,permanent_component,deck_construction_structural_dead,permanent_components/deck_construction_structural_dead/deck_construction_structural_dead.std,202,deck_construction,structural_dead,1.3500000000000001
ec_uls_persistent__lm1_000640,ec_uls_persistent,EN 1990 / EN 1991-2,lm1,permanent_component,superimposed_surfacing,permanent_components/superimposed_surfacing/superimposed_surfacing.std,203,superimposed,surfacing,1.3500000000000001
ec_uls_persistent__lm1_000640,ec_uls_persistent,EN 1990 / EN 1991-2,lm1,permanent_component,superimposed_other_superimposed,permanent_components/superimposed_other_superimposed/superimposed_other_superimposed.std,204,superimposed,other_superimposed,1.3500000000000001
ec_uls_persistent__lm1_000640,ec_uls_persistent,EN 1990 / EN 1991-2,lm1,traffic_case,lm1_000640,traffic/lm1/lm1_000640/lm1_000640.std,640,superimposed,,1.3500000000000001
ec_uls_persistent__lm1_000711,ec_uls_persistent,EN 1990 / EN 1991-2,lm1,permanent_component,precast_girder_structural_dead,permanent_components/precast_girder_structural_dead/precast_girder_structural_dead.std,201,precast_girder,structural_dead,1.3500000000000001
ec_uls_persistent__lm1_000711,ec_uls_persistent,EN 1990 / EN 1991-2,lm1,permanent_component,deck_construction_structural_dead,permanent_components/deck_construction_structural_dead/deck_construction_structural_dead.std,202,deck_construction,structural_dead,1.3500000000000001
ec_uls_persistent__lm1_000711,ec_uls_persistent,EN 1990 / EN 1991-2,lm1,permanent_component,superimposed_surfacing,permanent_components/superimposed_surfacing/superimposed_surfacing.std,203,superimposed,surfacing,1.3500000000000001
ec_uls_persistent__lm1_000711,ec_uls_persistent,EN 1990 / EN 1991-2,lm1,permanent_component,superimposed_other_superimposed,permanent_components/superimposed_other_superimposed/superimposed_other_superimposed.std,204,superimposed,other_superimposed,1.3500000000000001
ec_uls_persistent__lm1_000711,ec_uls_persistent,EN 1990 / EN 1991-2,lm1,traffic_case,lm1_000711,traffic/lm1/lm1_000711/lm1_000711.std,711,superimposed,,1.3500000000000001
ec_uls_persistent__lm1_000713,ec_uls_persistent,EN 1990 / EN 1991-2,lm1,permanent_component,precast_girder_structural_dead,permanent_components/precast_girder_structural_dead/precast_girder_structural_dead.std,201,precast_girder,structural_dead,1.3500000000000001
ec_uls_persistent__lm1_000713,ec_uls_persistent,EN 1990 / EN 1991-2,lm1,permanent_component,deck_construction_structural_dead,permanent_components/deck_construction_structural_dead/deck_construction_structural_dead.std,202,deck_construction,structural_dead,1.3500000000000001
ec_uls_persistent__lm1_000713,ec_uls_persistent,EN 1990 / EN 1991-2,lm1,permanent_component,superimposed_surfacing,permanent_components/superimposed_surfacing/superimposed_surfacing.std,203,superimposed,surfacing,1.3500000000000001
ec_uls_persistent__lm1_000713,ec_uls_persistent,EN 1990 / EN 1991-2,lm1,permanent_component,superimposed_other_superimposed,permanent_components/superimposed_other_superimposed/superimposed_other_superimposed.std,204,superimposed,other_superimposed,1.3500000000000001
ec_uls_persistent__lm1_000713,ec_uls_persistent,EN 1990 / EN 1991-2,lm1,traffic_case,lm1_000713,traffic/lm1/lm1_000713/lm1_000713.std,713,superimposed,,1.3500000000000001
ec_uls_persistent__lm1_000888,ec_uls_persistent,EN 1990 / EN 1991-2,lm1,permanent_component,precast_girder_structural_dead,permanent_components/precast_girder_structural_dead/precast_girder_structural_dead.std,201,precast_girder,structural_dead,1.3500000000000001
ec_uls_persistent__lm1_000888,ec_uls_persistent,EN 1990 / EN 1991-2,lm1,permanent_component,deck_construction_structural_dead,permanent_components/deck_construction_structural_dead/deck_construction_structural_dead.std,202,deck_construction,structural_dead,1.3500000000000001
ec_uls_persistent__lm1_000888,ec_uls_persistent,EN 1990 / EN 1991-2,lm1,permanent_component,superimposed_surfacing,permanent_components/superimposed_surfacing/superimposed_surfacing.std,203,superimposed,surfacing,1.3500000000000001
ec_uls_persistent__lm1_000888,ec_uls_persistent,EN 1990 / EN 1991-2,lm1,permanent_component,superimposed_other_superimposed,permanent_components/superimposed_other_superimposed/superimposed_other_superimposed.std,204,superimposed,other_superimposed,1.3500000000000001
ec_uls_persistent__lm1_000888,ec_uls_persistent,EN 1990 / EN 1991-2,lm1,traffic_case,lm1_000888,traffic/lm1/lm1_000888/lm1_000888.std,888,superimposed,,1.3500000000000001
ec_uls_persistent__lm1_000973,ec_uls_persistent,EN 1990 / EN 1991-2,lm1,permanent_component,precast_girder_structural_dead,permanent_components/precast_girder_structural_dead/precast_girder_structural_dead.std,201,precast_girder,structural_dead,1.3500000000000001
ec_uls_persistent__lm1_000973,ec_uls_persistent,EN 1990 / EN 1991-2,lm1,permanent_component,deck_construction_structural_dead,permanent_components/deck_construction_structural_dead/deck_construction_structural_dead.std,202,deck_construction,structural_dead,1.3500000000000001
ec_uls_persistent__lm1_000973,ec_uls_persistent,EN 1990 / EN 1991-2,lm1,permanent_component,superimposed_surfacing,permanent_components/superimposed_surfacing/superimposed_surfacing.std,203,superimposed,surfacing,1.3500000000000001
ec_uls_persistent__lm1_000973,ec_uls_persistent,EN 1990 / EN 1991-2,lm1,permanent_component,superimposed_other_superimposed,permanent_components/superimposed_other_superimposed/superimposed_other_superimposed.std,204,superimposed,other_superimposed,1.3500000000000001
ec_uls_persistent__lm1_000973,ec_uls_persistent,EN 1990 / EN 1991-2,lm1,traffic_case,lm1_000973,traffic/lm1/lm1_000973/lm1_000973.std,973,superimposed,,1.3500000000000001
ec_uls_persistent__lm1_000984,ec_uls_persistent,EN 1990 / EN 1991-2,lm1,permanent_component,precast_girder_structural_dead,permanent_components/precast_girder_structural_dead/precast_girder_structural_dead.std,201,precast_girder,structural_dead,1.3500000000000001
ec_uls_persistent__lm1_000984,ec_uls_persistent,EN 1990 / EN 1991-2,lm1,permanent_component,deck_construction_structural_dead,permanent_components/deck_construction_structural_dead/deck_construction_structural_dead.std,202,deck_construction,structural_dead,1.3500000000000001
ec_uls_persistent__lm1_000984,ec_uls_persistent,EN 1990 / EN 1991-2,lm1,permanent_component,superimposed_surfacing,permanent_components/superimposed_surfacing/superimposed_surfacing.std,203,superimposed,surfacing,1.3500000000000001
ec_uls_persistent__lm1_000984,ec_uls_persistent,EN 1990 / EN 1991-2,lm1,permanent_component,superimposed_other_superimposed,permanent_components/superimposed_other_superimposed/superimposed_other_superimposed.std,204,superimposed,other_superimposed,1.3500000000000001
ec_uls_persistent__lm1_000984,ec_uls_persistent,EN 1990 / EN 1991-2,lm1,traffic_case,lm1_000984,traffic/lm1/lm1_000984/lm1_000984.std,984,superimposed,,1.3500000000000001
ec_sls_characteristic__lm1_000120,ec_sls_characteristic,EN 1990 / EN 1991-2,lm1,permanent_component,precast_girder_structural_dead,permanent_components/precast_girder_structural_dead/precast_girder_structural_dead.std,201,precast_girder,structural_dead,1
ec_sls_characteristic__lm1_000120,ec_sls_characteristic,EN 1990 / EN 1991-2,lm1,permanent_component,deck_construction_structural_dead,permanent_components/deck_construction_structural_dead/deck_construction_structural_dead.std,202,deck_construction,structural_dead,1
ec_sls_characteristic__lm1_000120,ec_sls_characteristic,EN 1990 / EN 1991-2,lm1,permanent_component,superimposed_surfacing,permanent_components/superimposed_surfacing/superimposed_surfacing.std,203,superimposed,surfacing,1
ec_sls_characteristic__lm1_000120,ec_sls_characteristic,EN 1990 / EN 1991-2,lm1,permanent_component,superimposed_other_superimposed,permanent_components/superimposed_other_superimposed/superimposed_other_superimposed.std,204,superimposed,other_superimposed,1
ec_sls_characteristic__lm1_000120,ec_sls_characteristic,EN 1990 / EN 1991-2,lm1,traffic_case,lm1_000120,traffic/lm1/lm1_000120/lm1_000120.std,120,superimposed,,1
